"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:490Aq1ZHViIPWSsCJG6MAc","Det Var En Yndig Tid","spotify:artist:524U8vytgtCdfngSrGYFKa","Katy Bødtger","spotify:album:39XZp6NqCFfQzaFTbkSAXw","Sparkling Memories Vol 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-11-25","https://i.scdn.co/image/ab67616d0000b273923ab12f8e1bd6df79af14de","1","9","262009","https://p.scdn.co/mp3-preview/9556acd4ad4f416308ca65145ec6d87c16e3e318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEKB71385307","spotify:user:koen_verhulst","2021-07-12T17:35:19Z","bornehistorier,dansktop","0.252","0.753","3","-4.969","1","0.107","0.98","0","0.958","0.615","80.087","1"
"spotify:track:33VllQeUfMa4ux9LdiGFR6","Alla Andra Får Varann","spotify:artist:2VWX6ZalDVTp1KMGN6JDSl","Siw Malmkvist","spotify:album:5mCz62rW4d7AGISPSebz0H","Det Bästa Med...","spotify:artist:2VWX6ZalDVTp1KMGN6JDSl","Siw Malmkvist","2020-12-03","https://i.scdn.co/image/ab67616d0000b2731c4fe0ffda900dc9cd6d9765","1","1","148375","https://p.scdn.co/mp3-preview/2fd6f1a8d59569e9c9efb2f148173b01c815d295?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","ES5832010311","spotify:user:koen_verhulst","2021-07-12T17:37:37Z","classic swedish pop,vintage swedish pop","0.582","0.207","7","-9.621","1","0.139","0.932","0.00000847","0.58","0.771","145.838","3"
"spotify:track:0mLmt6DBB2QITlKPXLwSxn","Wohin Kleines Pony","spotify:artist:1cXKAmVlfMZuP0ddl1AW9y","Bob Martin","spotify:album:3g3eODrGVLimlR9ttPdDSr","Sparkling Memories Vol 7","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-12-05","https://i.scdn.co/image/ab67616d0000b27327c87879db3b0742f4d167ef","1","8","208641","https://p.scdn.co/mp3-preview/79cc860d07541a2a769f21e9f934103fce78563f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","DEKB71385267","spotify:user:koen_verhulst","2021-07-13T21:54:29Z","","0.422","0.176","1","-29.19","1","0.169","0.977","0.0000136","0.39","0.75","102.56","4"
"spotify:track:7uQ7e7nzbtyX87eIYHpj6Z","De Diepte","spotify:artist:1zT9SWCzN45r7oVhy0VYLK","S10","spotify:album:6XAKVt3CT7r1Zf0uiMWt7o","De Diepte","spotify:artist:1zT9SWCzN45r7oVhy0VYLK","S10","2022-03-03","https://i.scdn.co/image/ab67616d0000b273518255a11ce96cc8de864f39","1","1","176603","https://p.scdn.co/mp3-preview/0aea793dca77d1f1fab07e57d0a6aff25d25d96f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","NLG662200040","spotify:user:koen_verhulst","2022-03-03T10:30:02Z","dutch pop","0.502","0.397","2","-8.819","0","0.0282","0.378","0.0000344","0.143","0.159","90.043","4"
"spotify:track:6R6i1KOZjiPYLZ8dC0cUgd","growing up is getting old - Eurovision Version","spotify:artist:21rgoGGMOSvl9RD6zeuOnq","VICTORIA","spotify:album:5R6zdpQ4MYdVKnxpeR3YxJ","growing up is getting old (Eurovision Version)","spotify:artist:21rgoGGMOSvl9RD6zeuOnq","VICTORIA","2021-03-19","https://i.scdn.co/image/ab67616d0000b2731b06ff20cc7e1900e7a8b80d","1","1","188170","https://p.scdn.co/mp3-preview/6a1c7c6c2522a7e69a2a25375c481dfe82174e78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","BGA5L2100002","spotify:user:koen_verhulst","2021-03-19T02:05:31Z","eurovision","0.413","0.193","7","-7.94","1","0.0296","0.796","0.00000109","0.095","0.312","94.112","4"
"spotify:track:3iQcNu8EaUMXHYM4RF5srp","Friend of a Friend (Radio Edit)","spotify:artist:4UXTIkBW9t9Lcx3xtlaifs","Lake Malawi","spotify:album:2QviHLn3MXdhwyGvpySr4M","Friend of a Friend (Radio Edit)","spotify:artist:4UXTIkBW9t9Lcx3xtlaifs","Lake Malawi","2019-03-31","https://i.scdn.co/image/ab67616d0000b27371e1738226488d2d8921604f","1","1","180013","https://p.scdn.co/mp3-preview/a4a8f47ae69e2d1c0c0ce7a7835173275d5a5ce3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","CZK701901001","spotify:user:koen_verhulst","2019-05-03T13:07:09Z","czech pop,eurovision","0.702","0.717","0","-5.053","1","0.0491","0.287","0.00000519","0.131","0.493","105.921","4"
"spotify:track:6vGLWavGUuAs9vpZyprUl0","Mall","spotify:artist:6pLCGdsbqPzBUFG4ZmVxwc","Eugent Bushpepa","spotify:album:22UiHY8f02L1Op66RFsMBj","Mall","spotify:artist:6pLCGdsbqPzBUFG4ZmVxwc","Eugent Bushpepa","2018-04-06","https://i.scdn.co/image/ab67616d0000b2731d2d759b232b2c8c799edbe4","1","1","190491","https://p.scdn.co/mp3-preview/cca5f18e7ef935a7054cdba2e8184d1fa6adb508?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","DKUM71800092","spotify:user:koen_verhulst","2018-04-06T12:27:54Z","albanian pop","0.322","0.807","4","-4.468","1","0.0368","0.0106","0","0.168","0.493","189.743","3"
"spotify:track:5pTMXokyHE9OQyIDvi7ayz","Lights and Shadows","spotify:artist:1SiCF4gVjnR5iAIwk1nkXo","OG3NE","spotify:album:2SYpo9jn4js20nkdFzfYxX","Lights and Shadows","spotify:artist:1SiCF4gVjnR5iAIwk1nkXo","OG3NE","2017-03-04","https://i.scdn.co/image/ab67616d0000b2738635a7be5d1cca71bbf454c4","1","1","180113","","false","0","NLXZ51700001","spotify:user:koen_verhulst","2018-03-23T11:16:50Z","dutch pop","0.408","0.728","6","-5.186","1","0.0775","0.225","0","0.141","0.51","128.251","5"
"spotify:track:26bqkV4bV12BKHnuUIGLII","Slow Down","spotify:artist:6VSZeMeJlVPGoR2nfB6UxD","Douwe Bob","spotify:album:5nRrnKX3yr2ZpRftkLjbeY","Slow Down","spotify:artist:6VSZeMeJlVPGoR2nfB6UxD","Douwe Bob","2016-03-04","https://i.scdn.co/image/ab67616d0000b2735226c221eec3c07afe6153fd","1","1","166173","","false","0","NLUM71600028","spotify:user:koen_verhulst","2017-06-22T17:36:38Z","dutch americana,dutch indie,dutch pop,dutch rock","0.601","0.794","7","-4.95","1","0.0281","0.0836","0.00000744","0.0564","0.668","123.747","4"
"spotify:track:7yU7FlMnnLHEnOVxMmQLCQ","Warrior - Eurovision 2015 - Georgia","spotify:artist:4oggScCoSfeUZPur5WRTyx","Nina Sublatti","spotify:album:2AtKDvYbnBEWTH591Nw5gS","Warrior (Eurovision 2015 - Georgia)","spotify:artist:4oggScCoSfeUZPur5WRTyx","Nina Sublatti","2015-03-26","https://i.scdn.co/image/ab67616d0000b27358a85cf72082b1abb9b4ecb5","1","1","182126","https://p.scdn.co/mp3-preview/f0ec23cec5ff3da7d87813d75cfdd3e19a968b85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","DKUM71500143","spotify:user:koen_verhulst","2019-09-21T18:27:17Z","eurovision","0.461","0.911","5","-4.108","0","0.0998","0.00803","0.0000223","0.215","0.386","141.082","4"
"spotify:track:0i99ZWeMYZalyfqFvoj3ob","Something Better","spotify:artist:0jtDQsmLkW8DAXlGPYptIe","Softengine","spotify:album:20xErWb9vCbz9YNDMja4jq","We Created the World","spotify:artist:0jtDQsmLkW8DAXlGPYptIe","Softengine","2014-10-03","https://i.scdn.co/image/ab67616d0000b273cd16e10b247e82a4e63e24ae","1","8","180413","https://p.scdn.co/mp3-preview/b3401ece1d028847a85d81a281935bc0197b87cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","FIBAR1400157","spotify:user:koen_verhulst","2017-07-02T21:03:30Z","finnish idol pop","0.556","0.88","0","-6.456","1","0.0559","0.00049","0","0.247","0.366","146.051","4"
"spotify:track:2OQ8r8PyqHRQgP5rZoNk5K","O Mie","spotify:artist:0y64tMffFHvn07JiJAMVKU","Aliona Moon","spotify:album:5GW5BC2KBOUpuC5i9c5HMq","O Mie","spotify:artist:0y64tMffFHvn07JiJAMVKU","Aliona Moon","2018-02-16","https://i.scdn.co/image/ab67616d0000b2737a6ca77e7d475f8d86f5f361","1","1","183422","https://p.scdn.co/mp3-preview/bda3f8f582e5313bb9429f57840d78d8aa10178b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","QZARB1870133","spotify:user:koen_verhulst","2018-06-07T14:35:40Z","eurovision,moldovan pop","0.621","0.718","2","-2.99","0","0.0306","0.563","0","0.182","0.311","128.02","4"
