Country;Artist;Song;Language;Pl.;Year;sentiment_score;index_col;track.id_x
Belgium;witloof bay;with love baby;English;;2011;6.5233333333333325;1217;1iSpYnxIYAg8gL7IXVqocP
Slovakia;twiins;i'm still alive;English;;2011;5.612666666666667;1218;3GC4nKmD6JwUKPlIoPScXh
Ukraine;mika newton;angel;English;4.0;2011;6.323200000000001;1219;548pCTJxCXZgPosxLBoSuf
Moldova;zdob și zdub;so lucky;English;12.0;2011;5.947115384615386;1220;7sEFRncqj1VIt64YXPMr5o
Sweden;eric saade;popular;English;3.0;2011;5.4935294117647056;1221;64WR5TPXZZ2wsWYA3enKfK
Cyprus;christos mylordos;san aggelos s'agapisa;Greek;;2011;5.469354838709677;1222;46smAHmTjosXqxWfkXz34h
Bulgaria;poli genova;na inat;Bulgarian;;2011;5.9812;1223;6m0p8cTxhLTtlEU04knSOu
Macedonia;vlatko ilievski;rusinka;Macedonian/English (Russian);;2011;6.258888888888889;1224;1VLaASLpKUeE22TRLzCpTF
Israel;dana international;ding dong;Hebrew/English;;2011;6.154285714285713;1225;5NDkQlEVGg1NS7O276Yx0I
Slovenia;maja keuc;no one;English;13.0;2011;5.728148148148149;1226;18JxAvZNiJ8387A3As20mg
Romania;hotel fm;change;English;17.0;2011;5.628235294117647;1227;
Estonia;getter jaani;rockefeller street;English;24.0;2011;6.764285714285714;1228;4rvFyA7h88s8DehCOjqW9K
Belarus;anastasia vinnikova;i love belarus;English;;2011;6.5729729729729724;1229;
Latvia;musiqq;angel in disguise;English;;2011;6.1276;1230;72MZPRKW5YrgNd3ukqhU2t
Denmark;a friend in london;new tomorrow;English;5.0;2011;5.831290322580646;1231;0roS9EnPrJlnpdyBtcie8R
Ireland;jedward;lipstick;English;8.0;2011;5.588461538461539;1232;4gDQktCvIfPqo18AdHmkR4
France;amaury vassili;sognu;Corsican;15.0;2011;6.001333333333335;1233;3ZMFGLy09TWcbWgLJjaKEz
Italy;raphael gualazzi;madness of love;Italian/English;2.0;2011;5.915000000000001;1234;7zjzjCRUPemr1is0RkvsCY
United Kingdom;blue;i can;English;11.0;2011;5.17125;1235;0T4hgPrWilwM6glx1qNhl7
Germany;lena;taken by a stranger;English;10.0;2011;5.5512000000000015;1236;7ytIbb2rICCr5juZbqPENQ
Spain;lucía pérez;que me quiten lo bailao;Spanish;23.0;2011;6.206153846153845;1237;7xXTKNnAyNAhYFHSCSXkye
Montenegro;rambo amadeus;euro neuro;English (German/ Montenegrin);;2012;6.048275862068965;1238;
Iceland;greta salóme & jónsi;never forget;English;20.0;2012;6.164999999999999;1239;40sYYZZN8BLWs8Qmwamngw
Greece;eleftheria eleftheriou;aphrodisiac;English;17.0;2012;6.02923076923077;1240;47qzVDvkWDUu3yUL3jnFlC
Latvia;anmary;beautiful song;English;;2012;6.592972972972973;1241;
Albania;rona nishliu;suus;Albanian (title Latin);5.0;2012;5.896;1242;
Romania;mandinga;zaleilah;Spanish/English;12.0;2012;6.347777777777777;1243;6MBnKbFs1MgaLaTR4uYMoZ
Switzerland;sinplus;unbreakable;English;;2012;5.989411764705883;1244;0c45ybq5vOP10o20jrN03R
Belgium;iris;would you?;English;;2012;5.9137499999999985;1245;0sRNfbmG8OvPie22aQFDXB
Finland;pernilla;när jag blundar;Swedish;;2012;6.135000000000001;1246;
Israel;izabo;time;English/Hebrew;;2012;6.37;1247;5ItzDKBK1MkzSl0u1s6KnO
San Marino;valentina monetta;the social network song;English (Italian);;2012;6.457083333333333;1248;0Vzs9Npd4fvkRi3utSF2E3
Cyprus;ivi adamou;la la love;English;16.0;2012;6.096521739130436;1249;2FXaABOqJoxe29unQfK9zj
Denmark;soluna samay;should've known better;English (Arabic);23.0;2012;5.787407407407407;1250;
Russia;buranovskiye babushki;party for everybody;Udmurt (English);2.0;2012;6.8;1251;2eQ5C2ci4jNzmgWcTiF5Rf
