Country;Artist;Song;Language;Pl.;Year;sentiment_score;index_col;track.id_x
Greece;stefania;last dance;English;10.0;2021;6.019655172413793;1620;0x4GMUtMeZAbti9fhDQnhj
Iceland;daði og gagnamagnið;10 years;English;4.0;2021;5.933199999999999;1621;6N6HSN3zytFXva8LTUUvIL
Ireland;lesley roy;maps;English;;2021;5.184285714285714;1622;3OFGkaztvfjW0McKujTzdI
Israel;eden alene;set me free;English/Hebrew;17.0;2021;6.015675675675677;1623;76TRCnbYfo9GU5DPsZ1uI9
Italy;måneskin;zitti e buoni;Italian;1.0;2021;5.681627906976744;1624;1mhyrcFZHCXtPBTLkX8uXL
Latvia;samanta tīna;the moon is rising;English;;2021;6.162857142857143;1625;2h9pSMHx48Q4SOWsvEiah5
Lithuania;the roop;discoteque;English;8.0;2021;6.010555555555555;1626;7dMOzsTZOUtOF7W5kLN0gf
Malta;destiny;je me casse;English/French;7.0;2021;5.8659459459459455;1627;559RWsQqSe4fNUffI9P7mW
Moldova;natalia gordienko;sugar;English;13.0;2021;5.648461538461538;1628;4ajjeZhSAVz2Zp9rf9OTIL
Macedonia;vasil;here i stand;English;;2021;6.145714285714286;1629;4yvRoOkKUZNLBRC1NUI4Za
Norway;tix;fallen angel;English;18.0;2021;5.732916666666667;1630;1ISMa0THMDKFBq2UMfm02e
Poland;rafał;the ride;English;;2021;5.608285714285716;1631;3vTq9AmdeZt7QVslH68LK8
Portugal;the black mamba;love is on my side;English;12.0;2021;6.034375;1632;7fUlEgQytIcVr9tu20hv89
Romania;roxen;amnesia;English;;2021;5.712142857142857;1633;3JhdCHaJZWnvIqFRHhQfCs
Russia;manizha;russian woman;Russian;9.0;2021;5.782195121951218;1634;6Dz383ZHSKzWh5ZTL7aRra
San Marino;senhit;adrenalina;English;22.0;2021;5.249999999999999;1635;1c3ZFYA9ZpCEfpA3tOXa4b
Serbia;hurricane;loco loco;Serbian;15.0;2021;6.2459999999999996;1636;3XsC53nR7WLjc3b1CAgXhB
Slovenia;ana soklič;amen;English;;2021;5.943142857142858;1637;5jPAKeFrXZiSB91WujvLAz
Spain;blas cantó;voy a quedarme;Spanish;24.0;2021;6.186000000000001;1638;1yCpJ5qmyM9UK7MXQCAyHh
Sweden;tusse;voices;English;14.0;2021;5.379375;1639;5zxZ7M4RgWZUHlMEwac8vt
Switzerland;gjon's tears;tout l'univers;French;3.0;2021;5.66235294117647;1640;6hoZwRmLHvUMdQDZGY43Mq
Netherlands;jeangu macrooy;birth of a new age;English/Sranan Tongo;23.0;2021;5.6940740740740745;1641;5GVMXVYBFyUeq1jz8IsGRq
Ukraine;go_a;shum;Ukrainian;5.0;2021;6.159130434782608;1642;29bhnde7Gvnp7rvY9zsq5S
United Kingdom;james newman;embers;English;26.0;2021;5.037272727272726;1643;5Dmq7XPXXcATuJnSOj8UrT
Albania;ronela hajati;sekret;English/Albanian;;2022;6.153636363636363;1644;0zC65JcBBk4GYAjL2tHKXa
Armenia;rosa linn;snap;English;20.0;2022;5.490000000000001;1645;76OGwb5RA9h4FxQPT33ekc
Australia;sheldon riley;not the same;English;15.0;2022;5.8504;1646;27ThQIsofXro6xEz3SzQWi
Austria;lum!x feat. pia maria;halo;English;;2022;5.805517241379309;1647;6WVHfpzYW3HooQaCC80opC
Azerbaijan;nadir rustamli;fade to black;English;16.0;2022;5.361111111111111;1648;7aX4w6c7gSqbTBoU8g2lnm
Belgium;jérémie makiese;miss you;English;19.0;2022;5.312121212121212;1649;4VgSGm7CroAlCCt9GKQ75Z
Bulgaria;intelligent music project;intention;English;;2022;5.008484848484849;1650;15z4ROfNqCoxnzr2uOBYBn
Croatia;mia dimšić;guilty pleasure;English;;2022;5.663030303030301;1651;0er8krd7cEtPxVEEv0ZEHi
Cyprus;andromache;ela;English/Greek;;2022;6.225499999999999;1652;70HQXHPuU7EyUroOYkOzdk
Czech Republic;we are domi;lights off;English;22.0;2022;5.414074074074074;1653;0tOKpglJb9cza4WdTtxsv7
Denmark;reddi;the show;English;;2022;4.78875;1654;68UTfPKNrG4L9zKYcnD8fQ
Estonia;stefan;hope;English;13.0;2022;5.8038888888888875;1655;6sSq38pmQxG0YuvbipDoEi
Finland;the rasmus;jezebel;English;21.0;2022;5.771111111111112;1656;2NehRqeFiEGV72lFfqJGUn
France;alvan & ahez;fulenn;Breton;24.0;2022;5.78090909090909;1657;43UejonUIN69O8NNAFRu5X
Georgia;circus mircus;lock me in;English;;2022;6.154285714285715;1658;7ed3JsAPk6u0NjRhylnKmY
Germany;malik harris;rockstars;English;25.0;2022;5.263720930232558;1659;0KBS6MmhnlB2i1AjcYiDlN
Greece;amanda georgiadi tenfjord;die together;English;8.0;2022;5.570769230769231;1660;35b0iM96Uid8KI5s83IEHM
Iceland;systur;með hækkandi sól;Icelandic;23.0;2022;5.758235294117647;1661;2J61KigpU07CFr5hwRPhQR
Ireland;brooke;that's rich;English;;2022;5.353684210526313;1662;17uJWOskYtbfPqjN7SHSgz
Israel;michael ben david;i.m;English;;2022;6.229565217391304;1663;4Bpz4FBsoe9lhuiCWZv21x
Italy;mahmood & blanco;brividi;Italian;6.0;2022;5.359523809523808;1664;1ZMGp9MTXbtAPvcKa0U3zS
Latvia;citi zēni;eat your salad;English;;2022;5.980217391304346;1665;1ShAVm7yacVov9jHpxvazy
Lithuania;monika liu;sentimentai;Lithuanian;14.0;2022;6.095454545454545;1666;40fP0yeH4kUSCl6eLf2xrt
Malta;emma muscat;i am what i am;English;;2022;5.6414285714285715;1667;1FtqYazfNvsqR4CQvzrrD3
Moldova;zdob şi zdub & advahov brothers;trenulețul;Romanian;7.0;2022;5.903333333333332;1668;0IcFeQZD19y54GGhUeCQD7
Montenegro;vladana;breathe;English;;2022;5.2410000000000005;1669;4vvVUzVIVVpXRdzdlU765E
Macedonia;andrea;circles;English;;2022;5.981538461538462;1670;1pIbvmEIda1T9v9Oi227mn
Norway;subwoolfer;give that wolf a banana;English;10.0;2022;5.932380952380951;1671;50Cf2eYv8zT3v2HAkwhIiL
Poland;ochman;river;English;12.0;2022;5.393000000000001;1672;2fSz6MBKMPjOApUhGYfPid
Portugal;maro;saudade, saudade;English/Portuguese;9.0;2022;5.690526315789475;1673;4S4Amrpr631M16IIXqRk73
Romania;wrs;llámame;English/Spanish;18.0;2022;5.592799999999999;1674;2UnSxV0QzImhl3qMIYMLNn
San Marino;achille lauro;stripper;Italian/English;;2022;5.826923076923077;1675;1PpH00KzrWRN3um8vSbi7A
Serbia;konstrakta;in corpore sano;Serbian;5.0;2022;6.181764705882352;1676;1JaOUMmaSZlWfONvT4HTlg
Slovenia;lps;disko;Slovenian;;2022;5.8004;1677;5bx4DPSuvBUn6luswgF7Ez
Spain;chanel;slomo;Spanish/English;3.0;2022;5.714516129032259;1678;00rUx6vPpy0XbJer8BcoRn
Sweden;cornelia jakobs;hold me closer;English;4.0;2022;4.976578947368421;1679;6cTWJgNkmhATsI6RJgTPH4
Switzerland;marius bear;boys do cry;English;17.0;2022;5.843478260869564;1680;5A3JxIX04W5Ttu6Rxy5tWW
The Netherlands;s10;de diepte;Dutch;11.0;2022;5.877391304347825;1681;7uQ7e7nzbtyX87eIYHpj6Z
Ukraine;kalush orchestra;stefania;Ukrainian;1.0;2022;6.178484848484848;1682;2vHzOWRKYPLu8umRPIFuOq
United Kingdom;sam ryder;space man;English;2.0;2022;5.48125;1683;7tmBKObyRvblH21o8LuhPL
